ءبد	أبد,تأبد,أبدا
بلغ	أبلغ,مبالغ,بليغ,بلاغ,تبليغ,مبالغة,إبلاغ,بلغ,بلغ,مبلغ,بالغ
بلل	بل
بله	أبله
بلو	بلا,لامبالاة,بالى
بلي	لامبالاة,مبتلى,ابتلى,مبتل,بالى
بني	بان,بناية,بناء,بني,بنيان,بنى,مبنى,مبنا,بنية
بهت	بهتان,بهت
بهج	أبهج,بهج,بهيج,ابتهج,بهج
بهر	بهار
بهم	أبهم,بهم,بهيمة,إبهام
بوء	بيئة,باء
بوح	باح,اباحي
بور	بار,بور
بوق	بوق
بول	تبول,بال,بول
بون	بان
بيت	بيت
بيض	ابيض,مبيض,أبيض
بيع	بائع,أباع,بيع,ابتاع,بيع,مبيع,بياع,ابتياع,باع
بين	بان,مبان,بين,بينونة,بيان,بين
تبب	تب
تبع	اتباع,تبع,اتبع,تباع,تتبع,تبع,تابع,متابعة
تبغ	تبغ
تجر	تاجر,متجر,تجر
تحت	تحت
تحف	متحف
ترجم	ترجمان,مترجم,ترجم,ترجم,ترجمة
ترس	تترس
ترك	ترك
تسع	تسع,تسعة
تشر	
تعب	أتعب,تعبان,تعب,إتعاب,متعب,تعب
تعس	أتعس
تفه	تفاهة
تقن	أتقن
تقي	
تلل	تل
تلو	تلا,تال
تمتم	تمتم
تمم	تم,تمام,تام,أتم
توب	تاب
توج	توج
توه	تاه
تيح	أتاح
ثءب	تثاءب
ثءر	ثأر
ثبت	تثبت,ثابت,ثبت,ثبت,أثبت
ثبر	ثابر,ثبر
ثبط	ثبط
ثدي	ثديي
ثرثر	ثرثر
ثرد	ثريد
ثرو	ثروة
ثقب	ثقب,تثقيب,ثقب,ثقبة
ثقف	ثقافة,مثقف,ثقف
ثقل	ثقل,مثقال,أثقل,ثقيل
ثلث	ثلاثة,تلاتة,ثلث
ثلج	ثلج
ثلل	ثلة
ثمر	ثمرة,أثمر,استثمر,ثمر
ثمل	ثمل
ثمن	ثمن,تمانية,ثمانية
ثنن	مثانة
ثني	اثنان,أثناء,مثانة,ثانوي,مشناه,اتنين,ثانية,ثنى,تثنية,مستثنى,تبن,أثنى,ثني,انثناء,انثنى,استثنى,تثنى,مثنى,اثنى,تثن,إثناء,استثناء,اثنونى,أثني,ثني,اثناء,ثان
ثوب	ثوب,ثوب
ثور	ثار,مثير,ثورة,أثار
جبب	جبة
جبر	جبر,جابر
جبل	جبل
جبن	جبن,جبان
جبه	جبهة
جثث	جثة
جحر	جحر
جحم	جحيم
جدد	تجدد,جدي,جد,جدد,جاد,نجد,جديد,جدد
جدر	جدير,أجدر
جدل	جادل,جدول,مجادلة,جدال
جدو	جدوى,أجدى
جذب	جاذب,انجذاب,أجذب,جذاب,جذب
جذر	جذر
جرء	جريء,جرؤ,أجرأ
جرب	تجربة,أجرب,جرب
جرثم	اجرنثم
جرح	جراحة,مجروح,تجريح,جرح,جرح,جراح
جرد	جرد,جريدة,أجرد
جرر	جر
جرع	جرع,جرعة
جرف	انجراف,انجرف,مجراف,جرف,جرف,مجرفة,تجريف,جرافة
جرم	جرم
جرمز	اجرمز
جري	إجراء,مجرى,أجرى,جرى
جزء	جزء
جزح	جزح
جزر	جزيرة,جزر
جزع	جزع
جزي	جزى,جزاء
جسد	جسد
جسس	جاسوس,جواسيس,جاسوسة
جسم	أجسم,جسيم,مجسمة
جشع	جشع
جصص	جصص,جص
جعب	جعبة
جعل	جعل
جفف	جاف,أجف
جفل	مجفل
جلب	جلب
جلبب	جلبب,جلباب
جلد	أجلد
جلس	مجلس,جلس,جلس,جلسة
جلعب	اجلعب
جلعد	اجلعد
جلفع	اجلنفع
جلل	أجلة,جليل,جلالة,جلائل,أجلاء,جلل,أجل,جلال,مجلة,جل
جمد	مجمد,جمد
جمع	إجماع,مجموع,جمع,مجموعة,أجمع,اجتماع,جمعي,جميع,تجمع,جامع,اجتماعي,جمع,مجامعة,استجماع,اجتمع,مجتمع,جمعة,الجمعة,اجتماعية,جماع,تجميع,جامعة,استجمع
جمل	جمال,جمل,جمل,مجاملة,تجامل,إجمال,تجميل,تجمل,جملة,جميل,جامل,أجمل
جمهر	جمهورية,جمهور,جمهر
جنب	اجتنب,جنب,جانب,جنوب,تجنب
جنح	جناح
جنز	جنازة
جنس	تجنس,تجانس,جانس
جنن	جنة,جان,جنين,مجنون
جني	جان
جهد	مجتهد,إجهاد,جهد,جهد,مجاهدة,جاهد,اجتهد,اجتهاد,أجهد,جهاد,مجاهد
جهر	جهر
جهز	جهز,جهاز
جهل	جهل,مجهول,تجاهل,أجهل,استجهل,جاهل,جهل
جوب	أجاب,جواب
جود	جواد,أجود,جيد
جور	جار,جوار,مجاورة,جاور
جوز	إجازة,جاوز,مجوز,مجاز,جاز
جوع	جيعان
جوف	أجوف
جول	مجال,جوال,تجول
جيء	جاء,جيء,مجيء,جوا
جيب	جيب
جيد	جيد
جيش	جيش,جيش
حبب	حبب,أحب,محب,استحباب,تحبب,محبوب,تحبيب,حبوباللقاح,تحاب,استحب,حبة,حبيب,حبب,حبيبة,حب,محبة,تحابب,مستحب
حبر	حبر
حبس	حبس,محبس,حبس
حبط	حبط,حبط,أحبط
حبل	أحبل,حبل,حبلى
حتت	حتى
حجب	محجوب,حجب,حاجب,حجاب
حجج	حج,حجة,حاج
حجر	حجر,حجرة,حجيرة
حجز	حجز,حاجز
حجم	حجم
حدب	حدب,احدودب
حدث	حدوث,أحدث,حديث,حدثاء,حداث,حادثة,حوادث,تحديث,محادث,حدث,تحدث,أحاديث,حدث,تحادث,حادث,محادثة,حدثان,حداثة
حدد	حاد,محدد,حديد,أحد,حد,حدوة,حدد
حدق	احدودق,حديقة
حدو	حدا,تحد,حدو,تحدى
حذر	حذر,حذر,تحذير
حذف	حذف
حذو	حذاء
حرب	حراب,محاربة,احتراب,احترب,محراب,تحارب,محارب,حرب,حرب,حرباء,حارب
حرث	حرث
حرجم	احرنجم
حرر	أحر,حار
حرس	حارس,حرس
حرشف	احرنشف
حرص	حريص,حرص,أحرص
حرض	تحريضي,تحريض,حرض
حرف	تحرف,حرفة,حرف,انحرف,محترف
حرفز	احرنفز
حرق	حراق,حرق
حرك	حرك,حركة,محرك,حرك
حرم	احترم,محرمة,احترام,إحرام,حريم,حرم,استحرام,حرام,تحريم,محرم,أحرم,استحرم,تحرم,حرم
حزب	حزب,حزب
حزم	حزام,حزم,حزمة
حزن	حزن,أحزن,حزين
حسب	حسب,تحسب,احتسب,محاسبة,حاسب,حسب,تحاسب,حساب,حسابة,احتساب,حسبان,محسبة,حاسوب
حسد	حسد
حسر	حسر
حسس	حس,حساس,حاسة,أحس
حسن	تحسين,حسان,أحسن,استحسان,حسنة,hazaña,إحسان,محسن,تحسن,حسن,حسن,استحسن,حسناء
حشد	حشد,احتشاد,احتشد,حشد,تحشيد,تحشد
حشر	حشرة,حشر
حشش	حشيش
حصد	حصد,حصاد
حصر	محاصر,محاصرة,حصار,حصر,حاصر,حصر
حصف	حصف
حصل	محصول
حصن	حصن,حصان,أحصن
حصو	حصى,حصوة,أحصى,حصاة,حصو,إحصاء
حصي	حصي,حصى,حصوة,أحصى,حصاة,إحصاء
حضر	استحضار,حضر,تحضير,احتفاظ,إحضار,استحفاظ,أحضر,محاضرة,حضرة,حفاظ,إحفاظ,محاضر,حضر,حاضر,تحفيظ,استحضر
حضض	حضض,حض,حضيض
حطب	حطب
حطط	حط,حطة,محطة
حطم	حطم,حطم,حطام
حظر	حظر
حظظ	محظوظ,حظ
حظو	حظي
حظي	حظي
حفد	حفيدة,حفيد
حفر	حفر,حافر,حفار
حفظ	محافظة,احتفظ,حفظ,حافظة,حفظ,استحفظ,محافظ,تحفظ,حافظ,أحفظ,محفظة
حفف	حف
حفل	حافلة,حفل,محفل,احتفل,حفلة
حقد	حقد
حقر	أحقر,حقير
حقف	احقوقف,حقف
حقق	حاقق,حقق,حقق,استحقاق,حقاق,حقا,محاققة,حقيقي,حق,محقق,تحقيق,استحق,حقيق,أحق,حقيقة,حاق,محاقة,إحقاق
حكر	احتكار,احتكر
حكك	حكة
حكم	حكمي,تحكم,محاكمة,حكمة,أحكم,حكم,محكمة,تحكيم,حكيم,حكومة,حكم,حاكم
حكي	حكاية
حلب	حلب,حلاب,حليب,حلب
حلف	حلف
حلق	حلق,حلقوم,حلاق
حلل	حلل,حلال,احتل,حل
حلم	محتلم,حلم,احتلام,احتلم,حالم,حلمة,حلم
حلو	أحلى,حلوى
حمد	حمد,حمد,إحماد,محمد,حميد,محمود,أحمد,حامد
حمر	احمر,أحمر,حمار,احمرار,حمر,حمر,حمراء
حمس	حماس
حمض	حماض
حمق	حمق,حمق,أحمق
حمل	إحمال,احتمالا,أحمل,تحمل,حامل,حمل,استحمال,احتمال,تحامل,استحمل,محتمل,انحمل,تحميل,انحمال,حمل,حملة,احتمل
حمم	أستحمى,حمام,استحم
حمو	حماة,محامي
حمي	حمى,حامى,محام
حنف	حنف,حنيف,حنفية,حنف
حنو	حنا,حنى
حني	حنا,حنى
حوج	حوائج,احتاج,حاجة
حور	حوار,حارة,حور,محور
حوش	حوش
حوض	حوض
حوط	حاط,محيط,تحويط,محاوطة,احتياط,أحاط,حوط,إحاطة,حوط,احتاط,تحوط,حاوط,حواط
حوك	حوك,حاك
حول	أحيل,أحول,حول,احول,حالة,استحال,محيل,حاول,مستحيل,حوالي,حالا,حيال,حيلة,حال,أحال
حوي	حية,تحوى,حوي,محتوى,حوى,حي,احتوى,حواية
حير	حيرة,حير
حيل	أحيل
حيو	حيوت,أحيا,حياة,حيا,حيوان,تحية,حي,حيو,استحيا,استحى,حياء,إحياء,حيوات,استحاء,استحياء
خبء	خبء,خبأ,مخبأ,اختبأ
خبر	خبر,أخبار,تخبر,مختبر,تخابر,خابر,خبر,أخبر,استخبر,اختبر
خبز	خبز,خباز
خبط	تخبط,خبط
ختم	ختم,خاتم,ختم
ختن	ختان,اختتن,ختن,مختون,اختتان,ختن
خجل	خجل,تخجيل,خجل
خدد	خد
خدر	تخدر,خدر,تخدير,مخدر,خدر,أخدر
خدش	خدش
خدع	خدع
خدم	مستخدم,خدمة,استخدام,خدم,خادم,استخدم
خذل	خذل,خذل
خرء	خرئ,خرا
خرب	خرب,خراب
خرج	خارج,خريج,خرج,مخرج,خرج,إخراج,أخرج,خروج
خرر	خر
خرص	خرص
خرط	خرط,انخرط,خريطة,اخروط
خرطم	خرطوم,اخرنطم
خرع	اخترع
خرف	خريف,خروف
خرق	اختراق,خرق,اخترق,خرق,خرقة
خرمس	اخرنمس
خرمص	اخرمص
خزن	خزن,خزينة,خزانة,مخزن
خسء	خسئ,خسأ
خسر	خسر,خسارة,خسر
خسف	خسف,خسف
خشب	تخشب,اخشوشب,خشب,خشب,تخشيب
خشن	خشونة,خشن,أخشن,اخشوشن
خشي	خشي
خصب	أخصب
خصص	خصص,خاص,خصوص,خصص
خصف	خصف
خصل	خصلة
خصم	خصم
خصي	خصى
خضر	اخضر,اخضوضر,خضرة,أخضر,اخضار
خضع	خضع,خضوع,اخضوضع
خضل	أخضل,تخضيل,اخضلال,خضل,اخضل,إخضال,خضل
خطء	خطئ,خطيئة
خطب	خاطب,خطبة,خطاب
خطر	خطير,خاطره,خطر,أخطر
خطط	متكتل,مخطط,خطط,خطة,خط
خطف	تخطف,خطف,اختطاف,اختطف,خطف
خطم	خطم
خطو	خطوة
خفت	خفت
خفش	أخفش
خفض	تخفيض,انخفاض,أخفض,انخفض,خفض
خفف	خف,أخف,خفف,خفف,خفيف
خفي	اختفى,استخفى,تخفى,أخفى,خفي,خفي
خلج	خليج
خلد	خلد,أخلد,خلد
خلص	خلص,خالص,أخلص,خلص,مخلص,خليص
خلط	اختلط,خلط,خالط
خلع	خلع
خلف	خليفة,اختلف,خالف,خلف,مختلف,خلف
خلق	أخلق,خلقة,تخليق,خلق,خالق,خلاق,خلق,خليق
خلل	إختلال,خل
خلو	خلا,خلى,خلية,خال
خمر	تخامر,خمار,خامر,خمر,اختمر,تخمر,مخامرة,إخمار,خمر,أخمر,اختمار
خمس	خمسة,خمس
خنب	خنب
خنث	مخنث
خور	خور
خوص	خوص
خوف	تخوف,خوف,خائف,إخافة,خاف,تخويف,أخوف,خوف,أخاف
خول	خول,خال
خون	خيانة,خوان,خون,خان,خون,خؤون,خائن
خيب	خاب
خير	اختيار,خير,خير,اختار,خيرة,مختار
خيط	خياط,خيط
خيل	تخيل
خيم	مخيم,خيمة
دبب	دب,دابة,دبابة
دبر	دبر,دبر,تدبير,أدبر,دبور,دابر,تدبر
دثر	دثر,مندثر
دجج	دجاجة
دجل	دجال
دحرج	دحرج
دحض	دحض
دحو	أدحوة,إدحي,إدحية,دحو,أدحي,أدحية,دحو
دخل	مدخل,داخل,تدخل,دخل,مداخلة,تداخل,مداخل,أدخل
دخن	تدخين,دخان,دخن
درب	تدريب,درب
درج	درجة,دراجة,درج,دارجة,تدريج
درر	أدر,دار,در,استدر
درس	درس,درس,دراس,إدريس,مدرسة,مدارس,مدرس,دراسة,تدريس
درك	مدرك,أدرك
دري	أدري
دسر	دسار
دعر	دعارة
دعع	دع
دعو	دعوى,استدعى,تداع,دعاء,تداعى,ادعى,استدعاء,مدع,مدعى,دعا
دفء	دافئ,مدفأة,استدفأ,دفئ,دفأ,مدفأ,دفيء,أدفأ,دفاية
دفع	مدفع,دافع,دفع
دفف	دف
دفق	دفق,اندفق
دفن	دفن
دقع	دقع
دقق	دقة,دقاق,أدق
دكن	داكن,أدكن
دلع	اندلع
دلك	دلك
دلل	استدل,دليل,دل
دمر	تدمر,دمر,دمر
دمغ	دماغي,دماغ
دمن	أدمن,إدمان,مدمن
دمو	
دمي	دمية,دمي
دنء	دنيء,أدنأ
دندن	دندن
دنو	دني,أدنى,دنيا
دني	دني,أدنى,دنيا
دهش	أدهش,مدهش,دهش,إدهاش,دهشة
دهن	دهن,دهان,دهن
دور	دور,دار,دور,مدير,دوار,دورة,تدور,استدار,مستدير,أدار,داور,دائرة,إدارة,مدور
دول	تداول,دولة,دول,متداول
دوم	دائم,أدوم,دام
دون	دون,مدوان,ديوان,مدونة
دوي	دوي,داء,دواة,دوي,دواء,داوى,دوى
دير	دير,دير
دين	متدين,أدان,دين,دان
ذءب	ذئب
ذبب	ذبابة,ذباب
ذبح	مذبحة,ذبح
ذبذب	تذبذب
ذخر	ذخر,ذخيرة
ذرء	ذرأ
ذرر	ذر,ذرية,ذرة
ذرع	ذراع,ذريعة,ذريع,تذرع,ذرع
ذرو	ذرا,ذرة
ذري	ذرى,ذرة
ذكر	تذكرة,تذكار,ذكر,مذاكرة,تذكر,استذكر,ذاكرة,ذاكر,تذاكر,ذكري
ذكو	أذكى
ذكي	ذكي,أذكى
ذلعب	اذلعب
ذلل	ذيل
ذلي	اذلولى
ذمر	تذمر
ذنب	مذنب,أذنب
ذهب	ذهب,أذهب,ذهب,تمذهب,مذهب
ذهل	ذهل
ذهن	ذهن
ذوق	ذوق,تذوق,ذاق
ذيع	أذاع
ذيل	ذيل
ذيو	ذكي
رءس	رأس,رءس,رئيس
رءي	رأى,رءي,رأي,مرآة,أرى,مراية
ربب	الرب,رب,ربب
ربح	ربح,ربح
ربض	ربض
ربط	ربطة,رابطة,ربط,تاءمربوطة,مرابط,رباط,ربط
ربع	ربيع,أربعة,مربع,رباع,رباعي,ربع
ربك	ارتبك,مربك,مرتبك,أربك
ربو	مترب,مربى,ربا,ربى,تربية
رتب	أرتب,رتبة,رتب,رتيب,ترتب,ترتيب,مرتب,راتب,رتب
رتعس	
رتل	رتل
رثعن	ارثعن
رجج	رج
رجح	مرجيحة,راجح,رجح
رجحن	ارجحن
رجس	رجس
رجع	مرجع,رجع,رجع,راجع,استرجع,مراجع,تراجع
رجف	رجف,رجف
رجل	ترجل,استرجل,راجل,رجل,ارتجل
رجم	رجم
رجو	ارتجى,رجا
رحب	أرحب,رحب,مرحبا
رحض	رحض
رحل	رحل,رحلة
رحم	رحم,رحيم,رحمن,أرحم,رحمة
رخص	رخيص,أرخص,رخصة
رخي	أرخى
ردء	أردأ,رديء
ردد	رد,تردد,استرد,ردد,راد,ترادد,رادد,ردد,تراد,أرد,ارتد
ردف	رادف,مرادف,ردف,أردف
رده	ردهة
ردي	رداء,ردي,ردى,ردي,ارتدى,ترد,تردى
رذذ	رذذ,رذ
رزز	رزز
رزق	رزق,ارتزق,رزق,استرزق,مرزوق
رسل	أرسل,رسل,مراسل,رسالة,رسول,كتابةالرسائل
رسم	رسم,مرسم,رسام
رسو	رسا
رشد	رشيد,راشد,رشد,أرشد
رشش	رش,مرشة
رشو	رشا
رصد	مرصاد
رصص	رصاصة,رصاص
رصف	رصف
رضع	أرضع
رضو	رضي
رضي	رضا,أرضى
رطب	راطب,أرطب,رطيب,رطب
رعد	ارتعد,رعد
رعي	رعية
رغن	أرغن
رفرف	رفرف
رفض	رفض
رفع	ارتفع,أرفع,ترفع,رفع,رفيع,رفع,رافع,رفاع,ارتفاع,ترافع
رفف	رف
رفق	رفيق,رافق,رفق,رفق,رفقة,مرفق
رقب	راقب,رقب,ترقب,رقبة,مراقب,رقب
رقد	رقد
رقص	رقص,مرقص,رقاصة,رقصة,رقص
رقع	برقع
رقق	أرق,رق,رقيق
رقم	رقم,ترقيم
ركب	ركب,راكب,مركبة,مركب
ركز	مركز,ركز
ركس	أركس,ركس
ركض	ركض
ركع	ركعة,ركع
ركل	ركلة,ركل
رمح	رمح
رمز	رمز
رمي	رمى
رهب	رهيب,راهب,إرهاب,رهب,أرهب
رهف	أرهف,مرهف,رهيف,رهف
رهق	رهق
رهم	مرهم
رهن	رهين,رهينة
روب	راب
روح	ارتاح,تراوح,أراح,مرتاح,أروح,استراح,مروحة,مريح,روح,استراحت,روحاني
رود	أراد
روش	مروش
روض	رياضيات,رياضة
روغ	راغ
روق	رونق
روم	رام
روي	روى
ريب	راب
ريح	ريح
ريش	ريشة
ريق	ريق
رين	رين,ران
زبب	أزب
زبد	زبد,زبدة
زبر	زبرة,زبور
زبط	زبط
زبل	زبل,زبال
زجج	زجاجة,زجاج
زحر	زحر
زحف	زحف,زحف,زحافة
زحل	زحل,زحليقة
زحم	ازدحم,زحم,مزدحم
زخخ	زخ,زخة
زخرف	زخرف,مزخرف,تزخرف
زرد	ازدرد,زرد,زرد
زرر	زر
زرع	زراعي,زرع,زراعة,زريعة,مزرع,مزرعة,زرع
زرق	ازرق,أزرق
زركش	مزركش,زركش
زعج	مزعج
زعر	أزعر
زعم	زعم
زكم	زكام
زكو	أمازيغ,زكاة
زلزل	زلزال,زلزل,تزلزل
زمت	متزمت,تزمت
زمر	استزمر,زمر
زمل	زميل
زمن	زمان,تزامن,زمن
زنب	زنبور
زنر	زنر,تزنر
زني	زان,زانية
زهد	زاهد,أزهد,زهد
زهر	أزهر,زهر,زهر,زاهر,مزدهر,زهرة,ازدهر
زهق	زهق
زوج	زوج,زوج,تزوج,ازدوج,ازدواج,مزدوج,زوجة
زود	زود,تزويد
زور	زار,زيارة,زائر
زول	زال,أزال
زوي	زاوية,تزوى,زوى,انزوى
زيد	زاد,أزيد,زائد,زيد,ازداد
زيغ	زيغ,زاغ
زيف	زائف,أزيف
زيل	زال
زين	زينة,ازدان,زين,زين,تزين,زان
زيي	زيي,ازاي,زي
سءل	مسؤول,سائل,مسئله,تساءل,سؤال,مسألة,سءل,سأل,ساءل
سءم	أسأم,سئم
سبب	سبب,سبب,تسبب
سبت	السبت
سبح	سبح,مسبح,تسبيح,سبح
سبر	سبورة
سبع	أسبوع,سبع,سبعة
سبغ	أسبغ
سبغل	اسبغل
سبق	أسبق,مسابقة,سابق,سبق
سبكر	اسبكر
سبل	سبيل,شلوار
ستر	ستارة,سترة
سجد	سجد,مسجد,سجد,سجادة
سجع	سجع
سجل	
سجن	سجين,سجن,سجن
سجو	سجا
سحب	سحب,انسحاب,انسحب,سحب
سحر	سحر,ساحر,ساحرة
سحل	سحلية
سخر	سخر,ساخر,مسخرة
سخط	سخط,سخط,أسخط
سخن	سخن,ساخن,أسخن
سدر	سدر
سدس	سدس,مسدس
سدم	سديم
سرب	سراب,تسريب,سرب,سرب,تسرب
سربل	سربال
سرح	مسرح,سراح
سرر	أسر,سرة,سرية,سار,تسرى,سر,سرير
سرع	مسرع,سرعة,سريع,سرع,أسرع,سرع
سرف	أسرف
سرق	سارق,سرق
سرو	تسرى
سري	تسرى,أسرى,سرية,إسراء
سطر	مسطرة,سطر
سعد	سعد,سعادة,ساعد,أسعد,سعد
سعر	سعر
سعل	سعل
سعي	مسعى,سعى
سفح	مسفوح
سفد	سفد
سفر	سافر,أسفر,سفر,سفر
سفط	سفط
سفك	سفك
سفل	أسفل
سفن	سفينة
سقط	أسقط,تساقط,سقط
سقف	سقف
سقي	استسقى,ساق,سقى
سكت	سكت,ساكت
سكر	سكر
سكك	سكة
سكن	سكن,سكين,تسكن,سكن,أسكن,سكان,ساكن,تساكن
سلب	سلبي
سلح	سلح,تسلح,سلح
سلخ	مسلخ,سلخ,سلخ
سلس	أسلس,سلس
سلسل	سلسل,سلسل,مسلسل,سلسلة
سلط	لاسلطوي,سلطة,سلطوية,لاسلطوية,سلطوي,سلط,سلط
سلطح	اسلنطح
سلطع	اسلنطع
سلع	سلعة
سلف	سلف,سلف
سلق	سلق,سليقة,تسلق
سلك	أسلك,سلك,مسلك
سلل	مسلول
سلم	سلم,إسلام,سلم,استسلام,سالم,تسلم,سلمات,سلام,الإسلام,سلمان,استسلم,سليم,مسلم,أسلم,سلامة,استلم
سلو	تسلى,مسل
سلي	مسل
سمت	سمت
سمح	أسمح,سمح,متسامح,تسامح,سمح
سمر	مسمار,أسمر,سمير
سمط	سمط
سمع	سمع,تسامع,استمع,سمع,تسمع,أسمع
سمك	سمك,أسمك,سمكة
سمم	سم,تسمم,سموم
سمن	سمين,أسمن
سمو	سماء,سمي,أسمى,سما,سام
سمي	سمي
سند	ساند,أسند,استند,تساند,سند
سنن	سنة,أسن,مسن,سن
سهل	سهلا,سهل,سهل,أسهل
سهم	ساهم
سهو	سها
سوء	أسوأ,سوء,سوء,استاء,أساء,ساء,سيئ
سوح	ساحة
سود	سيادة,مسود,أسود,سيد
سور	سورة,سور
سوط	سوط
سوف	مسافة,سوف
سوق	تسوق,ساقة,ساق,سائق
سول	سول
سوي	تساوى,مساواة,مستوى,سوى,مساو,سوي,ساوى,أسوى,استوى,سوي
سيب	سيب
سيج	سياج
سيح	سياحة,ساح,سائح
سيخ	سيخ
سير	مسيرة,سيرة,سائر,سار,مسار,سيارة
سيطر	سيطر
سيل	سيل,سال,سائل,سيل
شءم	تشاءم,مشأمة
شءن	شأن
شبب	شاب,شب
شبث	شبث
شبح	شبح
شبك	شباك,شبكة
شبه	اشتباہی,اشتباهی,شبه,شبه,تشابه
شتم	شتم
شتو	شتاء,شتو
شجر	اشتجر,شجر,تشاجر,تشجر,أشجر,شاجر,شجر
شجع	شجيع,شجاع,أشجع,شجاعة,تشجيع,شجع,مشجع,شجع
شحب	شاحب,أشحب
شخخ	شخان
شخص	تشخص,شخص,أشخص,شخص
شدد	شد,أشد,شدة,شدد,شديد
شذذ	شاذ
شرب	شراب,شربة,شارب,شرب,مشرب
شرح	شرح
شرط	أشرط,شريط,شرط
شرع	تشريعي,مشروع,شرع,شرع,شراع,شارع,شريعة,تشريع
شرف	شرف,شريف,تشرف,شرف,أشرف,شرفة
